epoch,accuracy,loss,sensitivity,specificity,val_accuracy,val_loss,val_sensitivity,val_specificity
0,0.7861058,0.4696708639922265,0.69702554,0.8536599,0.7697423100471497,0.4870990149761442,0.47353458404541016,0.9133066534996033
1,0.80969393,0.41654648590008597,0.7281243,0.8718482,0.7780548334121704,0.4686436392356564,0.4910373389720917,0.9149001240730286
2,0.8278931,0.3822284373492893,0.75279146,0.88794553,0.7883070111274719,0.46752562455009244,0.7421579957008362,0.8311343789100647
3,0.86179715,0.3196103770762834,0.8015898,0.91115105,0.7716819047927856,0.5271017000297986,0.6889787316322327,0.8290733695030212
4,0.908727,0.2271903991752447,0.8743624,0.94082355,0.7334441542625427,0.5718714775686351,0.6280755400657654,0.7958618998527527
5,0.9501755,0.13302275713180067,0.9351058,0.967125,0.7040731310844421,0.7900277870155233,0.3895506262779236,0.8584940433502197
6,0.97012997,0.07891110608800113,0.96454924,0.9793477,0.7303962111473083,1.1016695914621266,0.23652474582195282,0.9578339457511902
7,0.9802919,0.05408763523058297,0.97876215,0.9855654,0.753948450088501,0.8975996887561654,0.4173077642917633,0.9125845432281494
8,0.9830634,0.04717307523110454,0.9818442,0.9878926,0.71958988904953,1.7271727080423107,0.11936473101377487,0.9881400465965271
9,0.9862043,0.03984516265387329,0.9849937,0.9905442,0.7223607897758484,1.613571803964185,0.29110467433929443,0.9222388863563538
10,0.98712814,0.03674230455156663,0.9862975,0.9910744,0.7628151774406433,1.071234574473839,0.5230351686477661,0.88887619972229
11,0.98959166,0.02903304426015009,0.98873293,0.9927944,0.7619839310646057,1.1776422431641387,0.45843449234962463,0.9036709070205688
12,0.9905771,0.028056255348559954,0.9902363,0.993582,0.7364920973777771,1.6115990019333466,0.3878946304321289,0.902803361415863
13,0.9924863,0.023400189329484254,0.9932358,0.9939042,0.6766417026519775,1.5672950525632623,0.7061988115310669,0.6803878545761108
14,0.991778,0.02389364628208986,0.99161744,0.9941284,0.7545026540756226,1.5891478589513224,0.5069568753242493,0.8817910552024841
15,0.9915625,0.023487991633859534,0.99178135,0.9937782,0.7653089761734009,1.0750186157279413,0.6257514357566833,0.848019003868103
16,0.99171644,0.024134556232857114,0.99185926,0.9938368,0.7453588247299194,1.520580437547383,0.403112530708313,0.9089874029159546
17,0.99528855,0.013898184895747383,0.99526167,0.996607,0.7509005069732666,1.5294888743934092,0.3709842264652252,0.929166853427887
18,0.9936873,0.018579184513689083,0.9938126,0.9954439,0.7533943057060242,1.2679152921746397,0.4777335524559021,0.882057785987854
19,0.99214756,0.024423503406885254,0.9924371,0.9941615,0.7506234645843506,1.5544102963531867,0.4388165771961212,0.9089711308479309
20,0.9951038,0.0138405003233753,0.99552226,0.9964551,0.7436963319778442,1.196295323646706,0.5429658889770508,0.8481206893920898
21,0.99485743,0.015266302014751142,0.9952631,0.996277,0.7561651468276978,1.2794222021142543,0.5898330807685852,0.8526561856269836
22,0.99608916,0.011764601966223465,0.9959589,0.9972107,0.7303962111473083,2.83792737848906,0.18918485939502716,0.9756138324737549
23,0.9960584,0.01352039954421363,0.9961651,0.9971916,0.7301191687583923,1.4171127534930017,0.7249106168746948,0.7589484453201294
24,0.99488825,0.015651150162963718,0.99474037,0.99647146,0.7567192912101746,1.4835700515763983,0.48737382888793945,0.8957029581069946
25,0.9970438,0.008826246509879778,0.99734914,0.99776614,0.7542255520820618,1.2892832751087813,0.5366933941841125,0.8673841953277588
26,0.9960276,0.010690052956734095,0.9960673,0.9971473,0.7345525026321411,1.769276623449751,0.4591582417488098,0.8677641153335571
27,0.9953501,0.01289572097298865,0.9953625,0.99680054,0.7669714689254761,1.3772987687181455,0.5850716829299927,0.8617953658103943
28,0.9965511,0.009557744200849368,0.9966031,0.9974481,0.748129665851593,1.5924326326418332,0.5797834396362305,0.8343378305435181
29,0.9970438,0.009141711818879426,0.99723375,0.99780965,0.7334441542625427,1.5286435861606023,0.4962766766548157,0.8525370359420776
